episode,success_rate
1000,0.0
2000,0.04
3000,0.04
4000,0.04
5000,0.04
6000,0.07
7000,0.05
8000,0.03
9000,0.17
10000,0.18
11000,0.28
12000,0.41
13000,0.38
14000,0.53
15000,0.76
16000,0.89
17000,0.89
18000,0.96
19000,0.99
20000,0.99
21000,0.98
22000,0.96
23000,0.97
24000,0.99
25000,0.97
26000,0.99
27000,0.98
28000,0.95
29000,0.95
30000,0.96
31000,1.0
32000,0.98
33000,0.97
34000,0.98
35000,0.97
36000,0.99
37000,0.99
38000,0.99
39000,0.97
40000,0.94
41000,0.97
42000,0.98
43000,0.97
44000,0.98
45000,0.98
46000,1.0
47000,0.98
48000,0.97
49000,0.98
50000,1.0
