episode,cum_reward,agent_0,agent_1,agent_2
1000,-153.5335816051602,-51.18352720172007,-51.15352720172007,-51.196527201720066
2000,-137.10339739888545,-45.81379913296183,-45.42179913296183,-45.86779913296183
3000,-115.20911852502945,-37.96503950834315,-38.43803950834315,-38.80603950834315
4000,-111.39012301133009,-36.82837433711003,-37.09937433711003,-37.46237433711003
5000,-110.14426055646129,-36.5884201854871,-36.5754201854871,-36.9804201854871
6000,-103.6384558292272,-34.53548527640906,-34.29448527640906,-34.80848527640906
7000,-99.36653325405535,-33.10651108468512,-32.87051108468512,-33.38951108468512
8000,-96.95220934164965,-32.376069780549884,-32.067069780549886,-32.509069780549886
9000,-90.13385039103802,-30.193616797012677,-29.675616797012673,-30.26461679701268
10000,-86.86337880896669,-28.964126269655566,-28.851126269655563,-29.048126269655565
11000,-77.93944070627812,-25.955813568759375,-25.856813568759375,-26.126813568759374
12000,-66.49943622257133,-22.108812074190443,-22.18081207419044,-22.20981207419044
13000,-56.72875372303946,-18.893251241013154,-18.939251241013153,-18.896251241013154
14000,-43.891447563554074,-14.584149187851358,-14.599149187851356,-14.708149187851356
15000,-40.45844604382361,-13.444815347941203,-13.438815347941203,-13.574815347941204
16000,-36.476605580283476,-12.185201860094491,-12.017201860094488,-12.27420186009449
17000,-29.059199679336807,-9.779066559778935,-9.630066559778934,-9.650066559778933
18000,-25.902802714248594,-8.696600904749532,-8.513600904749532,-8.692600904749531
19000,-22.182797633147977,-7.460599211049324,-7.366599211049325,-7.3555992110493245
20000,-23.871101726684543,-7.995033908894848,-7.915033908894849,-7.96103390889485
21000,-19.38367533250727,-6.505225110835758,-6.428225110835758,-6.450225110835758
22000,-18.587139431969735,-6.270379810656579,-6.183379810656579,-6.133379810656578
23000,-22.120171097497412,-7.4250570324991365,-7.356057032499137,-7.339057032499137
24000,-21.90468834962155,-7.378229449873852,-7.238229449873852,-7.288229449873852
25000,-22.41144273627454,-7.4161475787581805,-7.4321475787581806,-7.56314757875818
26000,-23.129205716676537,-7.7430685722255115,-7.636068572225512,-7.750068572225511
27000,-22.58763524362744,-7.588878414542478,-7.400878414542479,-7.597878414542479
28000,-21.344272387858506,-7.141090795952836,-7.073090795952836,-7.130090795952836
29000,-20.716425328068713,-6.976475109356238,-6.843475109356237,-6.8964751093562375
30000,-21.984694440880407,-7.373564813626802,-7.213564813626803,-7.397564813626802
31000,-20.393997152298667,-6.812665717432888,-6.723665717432889,-6.857665717432888
32000,-20.704989286795435,-6.989996428931812,-6.868996428931812,-6.845996428931812
33000,-19.461222358681727,-6.492407452893909,-6.439407452893909,-6.529407452893909
34000,-19.9091698576177,-6.746723285872566,-6.513723285872565,-6.648723285872566
35000,-20.64972627101972,-6.913908757006573,-6.859908757006573,-6.875908757006573
36000,-22.016914751478353,-7.467304917159452,-7.236304917159452,-7.313304917159452
37000,-19.66051356909326,-6.558504523031087,-6.534504523031086,-6.567504523031087
38000,-20.472538099678086,-6.906179366559361,-6.743179366559361,-6.823179366559361
39000,-22.101449377512594,-7.397149792504199,-7.285149792504199,-7.419149792504198
40000,-21.294360177405522,-7.167120059135175,-7.016120059135175,-7.1111200591351755
41000,-21.298656480395692,-7.128552160131898,-7.115552160131898,-7.054552160131898
42000,-21.445590792392544,-7.190196930797514,-7.098196930797514,-7.1571969307975145
43000,-22.09463833029149,-7.437212776763831,-7.32321277676383,-7.33421277676383
44000,-21.518207502214622,-7.237069167404874,-7.137069167404874,-7.144069167404874
45000,-21.727374632969102,-7.330124877656368,-7.253124877656368,-7.144124877656368
46000,-19.79263846117673,-6.626546153725576,-6.557546153725576,-6.608546153725576
47000,-21.367847096507145,-7.205615698835715,-7.037615698835715,-7.124615698835714
48000,-20.893934318748283,-6.96531143958276,-6.964311439582761,-6.964311439582762
49000,-20.71256645452539,-6.914522151508463,-6.899522151508463,-6.898522151508463
50000,-19.838275528893995,-6.6684251762979985,-6.584425176297999,-6.585425176297997
