episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-18769.921356552986,-3128.320226092165,-3128.320226092165,-3128.320226092165,-3128.320226092165,-3128.320226092165,-3128.320226092165
20,-22499.8574227409,-3749.976237123482,-3749.976237123482,-3749.976237123482,-3749.976237123482,-3749.976237123482,-3749.976237123482
30,-20422.016357832028,-3403.6693929720036,-3403.6693929720036,-3403.6693929720036,-3403.6693929720036,-3403.6693929720036,-3403.6693929720036
40,-14874.386352930005,-2479.064392155,-2479.064392155,-2479.064392155,-2479.064392155,-2479.064392155,-2479.064392155
50,-8389.599341043677,-1398.266556840614,-1398.266556840614,-1398.266556840614,-1398.266556840614,-1398.266556840614,-1398.266556840614
60,-7583.945112222357,-1263.9908520370604,-1263.9908520370604,-1263.9908520370604,-1263.9908520370604,-1263.9908520370604,-1263.9908520370604
70,-19430.80940498498,-3238.468234164159,-3238.468234164159,-3238.468234164159,-3238.468234164159,-3238.468234164159,-3238.468234164159
80,-30201.902033409686,-5033.6503389016125,-5033.6503389016125,-5033.6503389016125,-5033.6503389016125,-5033.6503389016125,-5033.6503389016125
90,-39742.099815865,-6623.683302644175,-6623.683302644175,-6623.683302644175,-6623.683302644175,-6623.683302644175,-6623.683302644175
100,-29346.24457489216,-4891.0407624820255,-4891.0407624820255,-4891.0407624820255,-4891.0407624820255,-4891.0407624820255,-4891.0407624820255
110,-27019.05992451833,-4503.176654086386,-4503.176654086386,-4503.176654086386,-4503.176654086386,-4503.176654086386,-4503.176654086386
120,-25546.566923771294,-4257.761153961882,-4257.761153961882,-4257.761153961882,-4257.761153961882,-4257.761153961882,-4257.761153961882
130,-21311.557059829756,-3551.926176638294,-3551.926176638294,-3551.926176638294,-3551.926176638294,-3551.926176638294,-3551.926176638294
140,-32287.19369509469,-5381.19894918245,-5381.19894918245,-5381.19894918245,-5381.19894918245,-5381.19894918245,-5381.19894918245
150,-34866.68677411821,-5811.114462353034,-5811.114462353034,-5811.114462353034,-5811.114462353034,-5811.114462353034,-5811.114462353034
160,-36845.80197145533,-6140.966995242554,-6140.966995242554,-6140.966995242554,-6140.966995242554,-6140.966995242554,-6140.966995242554
170,-35467.3365570934,-5911.2227595155655,-5911.2227595155655,-5911.2227595155655,-5911.2227595155655,-5911.2227595155655,-5911.2227595155655
180,-34744.25961520434,-5790.709935867392,-5790.709935867392,-5790.709935867392,-5790.709935867392,-5790.709935867392,-5790.709935867392
190,-32968.67957563669,-5494.779929272783,-5494.779929272783,-5494.779929272783,-5494.779929272783,-5494.779929272783,-5494.779929272783
200,-32881.85150375254,-5480.308583958762,-5480.308583958762,-5480.308583958762,-5480.308583958762,-5480.308583958762,-5480.308583958762
210,-32549.87629505993,-5424.97938250999,-5424.97938250999,-5424.97938250999,-5424.97938250999,-5424.97938250999,-5424.97938250999
220,-32656.56944206087,-5442.761573676811,-5442.761573676811,-5442.761573676811,-5442.761573676811,-5442.761573676811,-5442.761573676811
230,-32496.24018015147,-5416.040030025242,-5416.040030025242,-5416.040030025242,-5416.040030025242,-5416.040030025242,-5416.040030025242
240,-31066.18088323369,-5177.696813872289,-5177.696813872289,-5177.696813872289,-5177.696813872289,-5177.696813872289,-5177.696813872289
250,-32843.24120761962,-5473.873534603267,-5473.873534603267,-5473.873534603267,-5473.873534603267,-5473.873534603267,-5473.873534603267
260,-30124.421708684415,-5020.736951447403,-5020.736951447403,-5020.736951447403,-5020.736951447403,-5020.736951447403,-5020.736951447403
270,-30305.854177808396,-5050.9756963013915,-5050.9756963013915,-5050.9756963013915,-5050.9756963013915,-5050.9756963013915,-5050.9756963013915
280,-31414.991120854596,-5235.831853475762,-5235.831853475762,-5235.831853475762,-5235.831853475762,-5235.831853475762,-5235.831853475762
290,-30793.34359482251,-5132.223932470418,-5132.223932470418,-5132.223932470418,-5132.223932470418,-5132.223932470418,-5132.223932470418
