episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-42478.04435523542,-7079.6740592058995,-7079.6740592058995,-7079.6740592058995,-7079.6740592058995,-7079.6740592058995,-7079.6740592058995
20,-37548.29585717394,-6258.049309528988,-6258.049309528988,-6258.049309528988,-6258.049309528988,-6258.049309528988,-6258.049309528988
30,-31914.064139515966,-5319.010689919325,-5319.010689919325,-5319.010689919325,-5319.010689919325,-5319.010689919325,-5319.010689919325
40,-28007.659118485124,-4667.943186414186,-4667.943186414186,-4667.943186414186,-4667.943186414186,-4667.943186414186,-4667.943186414186
50,-27048.120654747232,-4508.020109124538,-4508.020109124538,-4508.020109124538,-4508.020109124538,-4508.020109124538,-4508.020109124538
60,-26283.738330345932,-4380.623055057652,-4380.623055057652,-4380.623055057652,-4380.623055057652,-4380.623055057652,-4380.623055057652
70,-27620.725832749235,-4603.454305458208,-4603.454305458208,-4603.454305458208,-4603.454305458208,-4603.454305458208,-4603.454305458208
80,-26913.805221421964,-4485.634203570329,-4485.634203570329,-4485.634203570329,-4485.634203570329,-4485.634203570329,-4485.634203570329
90,-24870.55023462003,-4145.091705770004,-4145.091705770004,-4145.091705770004,-4145.091705770004,-4145.091705770004,-4145.091705770004
100,-25169.178603557033,-4194.863100592838,-4194.863100592838,-4194.863100592838,-4194.863100592838,-4194.863100592838,-4194.863100592838
110,-28080.628285777424,-4680.104714296239,-4680.104714296239,-4680.104714296239,-4680.104714296239,-4680.104714296239,-4680.104714296239
120,-31083.62894500598,-5180.604824167663,-5180.604824167663,-5180.604824167663,-5180.604824167663,-5180.604824167663,-5180.604824167663
130,-30167.20341938578,-5027.867236564294,-5027.867236564294,-5027.867236564294,-5027.867236564294,-5027.867236564294,-5027.867236564294
140,-29930.16301286262,-4988.360502143769,-4988.360502143769,-4988.360502143769,-4988.360502143769,-4988.360502143769,-4988.360502143769
